algo,board_id,board_config_id,max_cards_percent,n_iter,region_percent_size,num_trials,value_mean,value_std,value_min,value_max,time_mean,time_std
greedy,38,7,0.25,200,0.05,3,297148.3333333333,9.741092797468305,297140,297162,3.2159180026659064,0.15725018976730257
greedy,38,7,1.0,200,0.05,3,306053.0,0.0,306053,306053,3.897729700999965,0.15474624357800065
greedy,39,7,0.25,200,0.05,3,291785.0,76.36753236814714,291731,291893,3.1475359686677016,0.1231643961205542
greedy,39,7,1.0,200,0.05,3,296890.0,0.0,296890,296890,3.967723192331808,0.1817407509958447
greedy,40,8,0.25,200,0.05,3,322102.0,284.06689353037956,321703,322342,4.237000192333653,0.30129135960151526
greedy,40,8,1.0,200,0.05,3,326977.6666666667,303.11310686863334,326549,327192,4.723566937666571,0.24085682070268485
greedy,41,8,0.25,200,0.05,3,320993.3333333333,109.13396456750861,320868,321134,4.09751733566615,0.26310598800124524
greedy,41,8,1.0,200,0.05,3,326299.0,0.0,326299,326299,5.050459466333753,0.28785657194061665
greedy,42,8,0.25,200,0.05,3,325394.0,85.20954563114785,325295,325503,3.8466763846663525,0.08678842677342265
greedy,42,8,1.0,200,0.05,3,333019.6666666667,9.428090415820634,333013,333033,4.676476355000584,0.5613044940251528
greedy,43,8,0.25,200,0.05,3,334397.6666666667,127.67754522842127,334228,334536,3.7185252943309024,0.11090160488757932
greedy,43,8,1.0,200,0.05,3,342061.0,0.0,342061,342061,4.282354696999391,0.3366130384322897
greedy,44,8,0.25,200,0.05,3,330422.6666666667,76.35589186318383,330318,330498,3.0112224976655853,0.38156460076692533
greedy,44,8,1.0,200,0.05,3,339151.0,0.0,339151,339151,3.534492945667201,0.7967744947724908
